origin_id,destination_id,trips_person,intrazonal_factor,mc_distance_m,mc2_distance_m,sense_candidate
56,1187,1.0,0,11060.076966043063,11060.076966043063,
1343,1330,1.0,0,18530.209617639182,18530.209617639182,
1346,1141,1.0,0,10752.521281627507,10752.521281627507,
1293,1349,1.0,0,10740.688878437964,10740.688878437964,
56,211,1.0,0,11060.076966043063,11060.076966043063,
1335,1346,12.23,0,10760.196700059369,10760.19670005937,1-4
1324,1276,46.06,0,10740.68887843797,10740.68887843797,
28,1066,1.0,0,131826.1765194634,134810.7847357124,1-4
1350,104,74.0,0,12357.546424437049,12357.546424437049,
1330,1020,1.0,0,0.0,0.0,
1344,1266,1.0,0,10988.544911714964,10988.544911714964,
2,1094,1.0,0,177036.3414609844,186479.67947759753,1-4
1352,211,1.0,0,0.0,0.0,
1330,1140,1.0,0,0.0,0.0,
205,1349,1.0,0,11.832403189536198,21493.21016006547,0
1324,1193,1.0,0,11.832403189536198,21493.21016006547,0
1325,1102,11.44,0,0.0,0.0,
1145,1190,11.34,0,0.0,15.350836863739541,0
1132,1354,1.0,0,10740.688878437964,10740.688878437964,
1132,1276,1.0,0,0.0,0.0,
1132,1331,1.0,0,0.0,0.0,
150,1009,1.0,0,14340.780025221125,17325.388241470057,1-4
8,1086,1.0,0,177048.17386417394,186491.51188078706,1-4
1348,1258,427.38,0,0.0,0.0,
1235,1325,1.0,0,10740.68887843797,10740.68887843797,
1056,1348,1.0,0,10752.521281627507,10752.521281627507,
1324,1055,1.0,0,11.832403189536198,21493.21016006547,0
1346,1106,1.0,0,11.832403189536198,21493.21016006547,0
1352,1255,14.3,0,0.0,0.0,
1350,1288,39.98,0,0.0,0.0,
1258,1274,1.0,0,0.0,0.0,
1228,1352,1.0,0,10740.68887843797,10740.68887843797,
1258,1283,1.0,0,15.8446719782807,15.8446719782807,
1207,1354,1.0,0,11.832403189536198,21493.21016006547,0
1288,1132,1.0,0,0.0,0.0,
1286,1265,1.0,0,0.0,0.0,
1132,1288,1.0,0,0.0,0.0,
1276,1348,17.37,0,0.0,0.0,
1,1114,1.0,0,175738.99059915956,175738.99059915956,
1331,1196,1.0,0,10752.5212816275,10752.5212816275,
25,1115,13.52,0,175738.99059915956,175738.99059915956,
103,1350,16.9,0,18795.140288219744,18795.140288219744,
1026,1350,1.0,0,0.0,0.0,
