start_date,end_date,date,destination,destination_name,origin,origin_name,total_trips
2025-09-04,2025-09-11,2025-09-04,107,134,67,18,15.28
2025-09-04,2025-09-11,2025-09-04,107,134,74,38,<10
2025-09-04,2025-09-11,2025-09-04,107,134,78,52,<10
2025-09-04,2025-09-11,2025-09-04,107,134,80,45,10.06
2025-09-04,2025-09-11,2025-09-04,107,134,81,42,23.08
2025-09-04,2025-09-11,2025-09-04,107,134,82,43,<10
2025-09-04,2025-09-11,2025-09-04,107,134,83,34,<10
2025-09-04,2025-09-11,2025-09-04,107,134,85,30F,<10
2025-09-04,2025-09-11,2025-09-04,107,134,89,35,<10
2025-09-04,2025-09-11,2025-09-04,107,134,90,03,<10
2025-09-04,2025-09-11,2025-09-04,107,134,93,Aeropuerto,10.17
2025-09-04,2025-09-11,2025-09-04,107,134,94,06A,28.63
2025-09-04,2025-09-11,2025-09-04,107,134,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,107,134,98,68B,<10
2025-09-04,2025-09-11,2025-09-04,107,134,99,65A,<10
2025-09-04,2025-09-11,2025-09-04,108,126,102,63B,<10
2025-09-04,2025-09-11,2025-09-04,108,126,107,134,10.08
2025-09-04,2025-09-11,2025-09-04,108,126,108,126,25.64
2025-09-04,2025-09-11,2025-09-04,108,126,110,48F,<10
2025-09-04,2025-09-11,2025-09-04,108,126,115,145,<10
2025-09-04,2025-09-11,2025-09-04,108,126,142,131,<10
2025-09-04,2025-09-11,2025-09-04,108,126,144,128,10.17
2025-09-04,2025-09-11,2025-09-04,108,126,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,108,126,3,30,<10
2025-09-04,2025-09-11,2025-09-04,108,126,33,21A,16.47
2025-09-04,2025-09-11,2025-09-04,108,126,51,06B,<10
2025-09-04,2025-09-11,2025-09-04,108,126,53,21B,23.26
2025-09-04,2025-09-11,2025-09-04,108,126,54,70B,<10
2025-09-04,2025-09-11,2025-09-04,108,126,56,69A,14.73
2025-09-04,2025-09-11,2025-09-04,108,126,62,23,<10
2025-09-04,2025-09-11,2025-09-04,108,126,65,24A,<10
2025-09-04,2025-09-11,2025-09-04,108,126,70,12F,<10
2025-09-04,2025-09-11,2025-09-04,108,126,85,30F,<10
2025-09-04,2025-09-11,2025-09-04,108,126,89,35,<10
2025-09-04,2025-09-11,2025-09-04,108,126,94,06A,<10
2025-09-04,2025-09-11,2025-09-04,108,126,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,109,136,102,63B,<10
2025-09-04,2025-09-11,2025-09-04,109,136,105,135,<10
2025-09-04,2025-09-11,2025-09-04,109,136,106,130,173.69
2025-09-04,2025-09-11,2025-09-04,109,136,107,134,10.1
2025-09-04,2025-09-11,2025-09-04,109,136,109,136,350.71
2025-09-04,2025-09-11,2025-09-04,109,136,113,142,<10
2025-09-04,2025-09-11,2025-09-04,109,136,115,145,28.45
2025-09-04,2025-09-11,2025-09-04,109,136,116,146,11.58
2025-09-04,2025-09-11,2025-09-04,109,136,134,127,69.82
2025-09-04,2025-09-11,2025-09-04,109,136,135,132,<10
2025-09-04,2025-09-11,2025-09-04,109,136,136,143,113.07
2025-09-04,2025-09-11,2025-09-04,109,136,137,137,119.07
2025-09-04,2025-09-11,2025-09-04,109,136,141,139,<10
2025-09-04,2025-09-11,2025-09-04,109,136,142,131,12.3
2025-09-04,2025-09-11,2025-09-04,109,136,143,138,20.15
2025-09-04,2025-09-11,2025-09-04,109,136,145,141,<10
2025-09-04,2025-09-11,2025-09-04,109,136,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,109,136,151,129,67.71
2025-09-04,2025-09-11,2025-09-04,109,136,33,21A,<10
2025-09-04,2025-09-11,2025-09-04,109,136,50,09,<10
2025-09-04,2025-09-11,2025-09-04,109,136,51,06B,10.98
2025-09-04,2025-09-11,2025-09-04,109,136,52,07,<10
2025-09-04,2025-09-11,2025-09-04,109,136,53,21B,13.82
2025-09-04,2025-09-11,2025-09-04,109,136,54,70B,<10
2025-09-04,2025-09-11,2025-09-04,109,136,55,02F,<10
2025-09-04,2025-09-11,2025-09-04,109,136,56,69A,<10
2025-09-04,2025-09-11,2025-09-04,109,136,59,49F,<10
2025-09-04,2025-09-11,2025-09-04,109,136,67,18,45.44
2025-09-04,2025-09-11,2025-09-04,109,136,89,35,<10
2025-09-04,2025-09-11,2025-09-04,109,136,90,03,10.68
2025-09-04,2025-09-11,2025-09-04,109,136,93,Aeropuerto,13.73
2025-09-04,2025-09-11,2025-09-04,109,136,94,06A,<10
2025-09-04,2025-09-11,2025-09-04,109,136,95,70A,<10
2025-09-04,2025-09-11,2025-09-04,109,136,96,69B,10.41
2025-09-04,2025-09-11,2025-09-04,109,136,97,05,10.09
2025-09-04,2025-09-11,2025-09-04,109,136,99,65A,<10
2025-09-04,2025-09-11,2025-09-04,110,48F,110,48F,<10
2025-09-04,2025-09-11,2025-09-04,110,48F,33,21A,<10
2025-09-04,2025-09-11,2025-09-04,110,48F,53,21B,<10
2025-09-04,2025-09-11,2025-09-04,110,48F,67,18,<10
2025-09-04,2025-09-11,2025-09-04,110,48F,90,03,<10
2025-09-04,2025-09-11,2025-09-04,110,48F,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,110,48F,97,05,<10
2025-09-04,2025-09-11,2025-09-04,111,50,105,135,<10
2025-09-04,2025-09-11,2025-09-04,111,50,107,134,<10
2025-09-04,2025-09-11,2025-09-04,111,50,109,136,10.64
2025-09-04,2025-09-11,2025-09-04,111,50,111,50,<10
2025-09-04,2025-09-11,2025-09-04,111,50,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,111,50,151,129,<10
2025-09-04,2025-09-11,2025-09-04,111,50,33,21A,<10
2025-09-04,2025-09-11,2025-09-04,111,50,53,21B,<10
2025-09-04,2025-09-11,2025-09-04,111,50,62,23,<10
2025-09-04,2025-09-11,2025-09-04,111,50,65,24A,<10
2025-09-04,2025-09-11,2025-09-04,111,50,67,18,<10
2025-09-04,2025-09-11,2025-09-04,111,50,69,17,<10
2025-09-04,2025-09-11,2025-09-04,111,50,94,06A,<10
2025-09-04,2025-09-11,2025-09-04,111,50,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,111,50,99,65A,<10
2025-09-04,2025-09-11,2025-09-04,112,144,107,134,<10
